"Name","MagicOrbOptionId","OptionGrade","AttributeType","OptionValue01","OptionValue02","OptionValue03","OptionValue04","OptionValue05","OptionValue06","OptionValue07","OptionValue08","OptionValue09","OptionValue10","OptionValue11","OptionValue12"
"11056","11056","4","43","20","26","46","52","58","78","84","90","110","116","122","142"
"11057","11057","1","44","11","14","25","28","31","42","45","48","59","62","65","76"
"11058","11058","2","44","14","18","32","36","40","54","58","62","76","80","84","98"
"11059","11059","3","44","16","21","37","42","47","63","68","73","89","94","99","115"
"11060","11060","4","44","20","26","46","52","58","78","84","90","110","116","122","142"
"11061","11061","1","45","11","14","25","28","31","42","45","48","59","62","65","76"
"11062","11062","2","45","14","18","32","36","40","54","58","62","76","80","84","98"
"11063","11063","3","45","16","21","37","42","47","63","68","73","89","94","99","115"
"11064","11064","4","45","20","26","46","52","58","78","84","90","110","116","122","142"
"11065","11065","1","48","11","14","25","28","31","42","45","48","59","62","65","76"
"11066","11066","2","48","14","18","32","36","40","54","58","62","76","80","84","98"
"11067","11067","3","48","16","21","37","42","47","63","68","73","89","94","99","115"
"11068","11068","4","48","20","26","46","52","58","78","84","90","110","116","122","142"
"11069","11069","1","49","11","14","25","28","31","42","45","48","59","62","65","76"
"11070","11070","2","49","14","18","32","36","40","54","58","62","76","80","84","98"
"11071","11071","3","49","16","21","37","42","47","63","68","73","89","94","99","115"
"11072","11072","4","49","20","26","46","52","58","78","84","90","110","116","122","142"
"11073","11073","1","50","11","14","25","28","31","42","45","48","59","62","65","76"
"11074","11074","2","50","14","18","32","36","40","54","58","62","76","80","84","98"
"11075","11075","3","50","16","21","37","42","47","63","68","73","89","94","99","115"
"11076","11076","4","50","20","26","46","52","58","78","84","90","110","116","122","142"
"11077","11077","1","51","11","14","25","28","31","42","45","48","59","62","65","76"
"11078","11078","2","51","14","18","32","36","40","54","58","62","76","80","84","98"
"11079","11079","3","51","16","21","37","42","47","63","68","73","89","94","99","115"
"11080","11080","4","51","20","26","46","52","58","78","84","90","110","116","122","142"
"11081","11081","1","52","11","14","25","28","31","42","45","48","59","62","65","76"
"11082","11082","2","52","14","18","32","36","40","54","58","62","76","80","84","98"
"11083","11083","3","52","16","21","37","42","47","63","68","73","89","94","99","115"
"11084","11084","4","52","20","26","46","52","58","78","84","90","110","116","122","142"
"11085","11085","1","53","11","14","25","28","31","42","45","48","59","62","65","76"
"11086","11086","2","53","14","18","32","36","40","54","58","62","76","80","84","98"
"11087","11087","3","53","16","21","37","42","47","63","68","73","89","94","99","115"
"11088","11088","4","53","20","26","46","52","58","78","84","90","110","116","122","142"
"11089","11089","1","119","11","14","25","28","31","42","45","48","59","62","65","76"
"11090","11090","2","119","14","18","32","36","40","54","58","62","76","80","84","98"
"11091","11091","3","119","16","21","37","42","47","63","68","73","89","94","99","115"
"11092","11092","4","119","20","26","46","52","58","78","84","90","110","116","122","142"
"11093","11093","1","120","11","14","25","28","31","42","45","48","59","62","65","76"
"11094","11094","2","120","14","18","32","36","40","54","58","62","76","80","84","98"
"11095","11095","3","120","16","21","37","42","47","63","68","73","89","94","99","115"
"11096","11096","4","120","20","26","46","52","58","78","84","90","110","116","122","142"
"12001","12001","1","1","689","918","1607","1836","2065","2754","2983","3212","3901","4130","4359","5048"
"12002","12002","2","1","836","1114","1950","2228","2506","3342","3620","3898","4734","5012","5290","6126"
"12003","12003","3","1","984","1312","2296","2624","2952","3936","4264","4592","5576","5904","6232","7216"
"12004","12004","4","1","1181","1574","2755","3148","3541","4722","5115","5508","6689","7082","7475","8656"
"12005","12005","1","6","165","220","385","440","495","660","715","770","935","990","1045","1210"
"12006","12006","2","6","200","266","466","532","598","798","864","930","1130","1196","1262","1462"
"12007","12007","3","6","236","314","550","628","706","942","1020","1098","1334","1412","1490","1726"
"12008","12008","4","6","283","377","660","754","848","1131","1225","1319","1602","1696","1790","2073"
"12009","12009","1","24","41","54","95","108","121","162","175","188","229","242","255","296"
"12010","12010","2","24","50","66","116","132","148","198","214","230","280","296","312","362"
"12011","12011","3","24","59","78","137","156","175","234","253","272","331","350","369","428"
"12012","12012","4","24","70","93","163","186","209","279","302","325","395","418","441","511"
"12013","12013","1","26","41","54","95","108","121","162","175","188","229","242","255","296"
"12014","12014","2","26","50","66","116","132","148","198","214","230","280","296","312","362"
"12015","12015","3","26","59","78","137","156","175","234","253","272","331","350","369","428"
"12016","12016","4","26","70","93","163","186","209","279","302","325","395","418","441","511"
"12017","12017","1","32","41","54","95","108","121","162","175","188","229","242","255","296"
"12018","12018","2","32","50","66","116","132","148","198","214","230","280","296","312","362"
"12019","12019","3","32","59","78","137","156","175","234","253","272","331","350","369","428"
"12020","12020","4","32","70","93","163","186","209","279","302","325","395","418","441","511"
"12021","12021","1","33","41","54","95","108","121","162","175","188","229","242","255","296"
"12022","12022","2","33","50","66","116","132","148","198","214","230","280","296","312","362"
"12023","12023","3","33","59","78","137","156","175","234","253","272","331","350","369","428"
"12024","12024","4","33","70","93","163","186","209","279","302","325","395","418","441","511"
"12025","12025","1","34","55","73","128","146","164","219","237","255","310","328","346","401"
"12026","12026","2","34","66","88","154","176","198","264","286","308","374","396","418","484"
"12027","12027","3","34","78","104","182","208","234","312","338","364","442","468","494","572"
"12028","12028","4","34","94","125","219","250","281","375","406","437","531","562","593","687"
"12029","12029","1","35","55","73","128","146","164","219","237","255","310","328","346","401"
"12030","12030","2","35","66","88","154","176","198","264","286","308","374","396","418","484"
"12031","12031","3","35","78","104","182","208","234","312","338","364","442","468","494","572"
"12032","12032","4","35","94","125","219","250","281","375","406","437","531","562","593","687"
"12033","12033","1","38","27","36","63","72","81","108","117","126","153","162","171","198"
"12034","12034","2","38","33","44","77","88","99","132","143","154","187","198","209","242"
"12035","12035","3","38","39","52","91","104","117","156","169","182","221","234","247","286"
"12036","12036","4","38","47","62","109","124","139","186","201","216","263","278","293","340"
"12037","12037","1","39","27","36","63","72","81","108","117","126","153","162","171","198"
"12038","12038","2","39","33","44","77","88","99","132","143","154","187","198","209","242"
"12039","12039","3","39","39","52","91","104","117","156","169","182","221","234","247","286"
"12040","12040","4","39","47","62","109","124","139","186","201","216","263","278","293","340"
"12041","12041","1","40","27","36","63","72","81","108","117","126","153","162","171","198"
"12042","12042","2","40","33","44","77","88","99","132","143","154","187","198","209","242"
"12043","12043","3","40","39","52","91","104","117","156","169","182","221","234","247","286"
"12044","12044","4","40","47","62","109","124","139","186","201","216","263","278","293","340"
"12045","12045","1","41","27","36","63","72","81","108","117","126","153","162","171","198"
"12046","12046","2","41","33","44","77","88","99","132","143","154","187","198","209","242"
"12047","12047","3","41","39","52","91","104","117","156","169","182","221","234","247","286"
"12048","12048","4","41","47","62","109","124","139","186","201","216","263","278","293","340"
"12049","12049","1","42","27","36","63","72","81","108","117","126","153","162","171","198"
"12050","12050","2","42","33","44","77","88","99","132","143","154","187","198","209","242"
"12051","12051","3","42","39","52","91","104","117","156","169","182","221","234","247","286"
"12052","12052","4","42","47","62","109","124","139","186","201","216","263","278","293","340"
"12053","12053","1","43","27","36","63","72","81","108","117","126","153","162","171","198"
"12054","12054","2","43","33","44","77","88","99","132","143","154","187","198","209","242"
"12055","12055","3","43","39","52","91","104","117","156","169","182","221","234","247","286"
"12056","12056","4","43","47","62","109","124","139","186","201","216","263","278","293","340"
"12057","12057","1","44","27","36","63","72","81","108","117","126","153","162","171","198"
"12058","12058","2","44","33","44","77","88","99","132","143","154","187","198","209","242"
"12059","12059","3","44","39","52","91","104","117","156","169","182","221","234","247","286"
"12060","12060","4","44","47","62","109","124","139","186","201","216","263","278","293","340"
"12061","12061","1","45","27","36","63","72","81","108","117","126","153","162","171","198"
"12062","12062","2","45","33","44","77","88","99","132","143","154","187","198","209","242"
"12063","12063","3","45","39","52","91","104","117","156","169","182","221","234","247","286"
"12064","12064","4","45","47","62","109","124","139","186","201","216","263","278","293","340"
"12065","12065","1","48","27","36","63","72","81","108","117","126","153","162","171","198"
"12066","12066","2","48","33","44","77","88","99","132","143","154","187","198","209","242"
"12067","12067","3","48","39","52","91","104","117","156","169","182","221","234","247","286"
"12068","12068","4","48","47","62","109","124","139","186","201","216","263","278","293","340"
"12069","12069","1","49","27","36","63","72","81","108","117","126","153","162","171","198"
"12070","12070","2","49","33","44","77","88","99","132","143","154","187","198","209","242"
"12071","12071","3","49","39","52","91","104","117","156","169","182","221","234","247","286"
"12072","12072","4","49","47","62","109","124","139","186","201","216","263","278","293","340"
"12073","12073","1","50","27","36","63","72","81","108","117","126","153","162","171","198"
"12074","12074","2","50","33","44","77","88","99","132","143","154","187","198","209","242"
"12075","12075","3","50","39","52","91","104","117","156","169","182","221","234","247","286"
"12076","12076","4","50","47","62","109","124","139","186","201","216","263","278","293","340"
"12077","12077","1","51","27","36","63","72","81","108","117","126","153","162","171","198"
"12078","12078","2","51","33","44","77","88","99","132","143","154","187","198","209","242"
"12079","12079","3","51","39","52","91","104","117","156","169","182","221","234","247","286"
"12080","12080","4","51","47","62","109","124","139","186","201","216","263","278","293","340"
"12081","12081","1","52","27","36","63","72","81","108","117","126","153","162","171","198"
"12082","12082","2","52","33","44","77","88","99","132","143","154","187","198","209","242"
"12083","12083","3","52","39","52","91","104","117","156","169","182","221","234","247","286"
"12084","12084","4","52","47","62","109","124","139","186","201","216","263","278","293","340"
"12085","12085","1","53","27","36","63","72","81","108","117","126","153","162","171","198"
"12086","12086","2","53","33","44","77","88","99","132","143","154","187","198","209","242"
"12087","12087","3","53","39","52","91","104","117","156","169","182","221","234","247","286"
"12088","12088","4","53","47","62","109","124","139","186","201","216","263","278","293","340"
"12089","12089","1","119","27","36","63","72","81","108","117","126","153","162","171","198"
"12090","12090","2","119","33","44","77","88","99","132","143","154","187","198","209","242"
"12091","12091","3","119","39","52","91","104","117","156","169","182","221","234","247","286"
"12092","12092","4","119","47","62","109","124","139","186","201","216","263","278","293","340"
"12093","12093","1","120","27","36","63","72","81","108","117","126","153","162","171","198"
"12094","12094","2","120","33","44","77","88","99","132","143","154","187","198","209","242"
"12095","12095","3","120","39","52","91","104","117","156","169","182","221","234","247","286"
"12096","12096","4","120","47","62","109","124","139","186","201","216","263","278","293","340"
"13001","13001","1","1","689","918","1607","1836","2065","2754","2983","3212","3901","4130","4359","5048"
"13002","13002","2","1","836","1114","1950","2228","2506","3342","3620","3898","4734","5012","5290","6126"
"13003","13003","3","1","984","1312","2296","2624","2952","3936","4264","4592","5576","5904","6232","7216"
"13004","13004","4","1","1181","1574","2755","3148","3541","4722","5115","5508","6689","7082","7475","8656"
"13005","13005","1","6","165","220","385","440","495","660","715","770","935","990","1045","1210"
"13006","13006","2","6","200","266","466","532","598","798","864","930","1130","1196","1262","1462"
"13007","13007","3","6","236","314","550","628","706","942","1020","1098","1334","1412","1490","1726"
"13008","13008","4","6","283","377","660","754","848","1131","1225","1319","1602","1696","1790","2073"
"13009","13009","1","24","41","54","95","108","121","162","175","188","229","242","255","296"
"13010","13010","2","24","50","66","116","132","148","198","214","230","280","296","312","362"
"13011","13011","3","24","59","78","137","156","175","234","253","272","331","350","369","428"
"13012","13012","4","24","70","93","163","186","209","279","302","325","395","418","441","511"
"13013","13013","1","26","41","54","95","108","121","162","175","188","229","242","255","296"
"13014","13014","2","26","50","66","116","132","148","198","214","230","280","296","312","362"
"13015","13015","3","26","59","78","137","156","175","234","253","272","331","350","369","428"
"13016","13016","4","26","70","93","163","186","209","279","302","325","395","418","441","511"
"13017","13017","1","32","41","54","95","108","121","162","175","188","229","242","255","296"
"13018","13018","2","32","50","66","116","132","148","198","214","230","280","296","312","362"
"13019","13019","3","32","59","78","137","156","175","234","253","272","331","350","369","428"
"13020","13020","4","32","70","93","163","186","209","279","302","325","395","418","441","511"
"13021","13021","1","33","41","54","95","108","121","162","175","188","229","242","255","296"
"13022","13022","2","33","50","66","116","132","148","198","214","230","280","296","312","362"
"13023","13023","3","33","59","78","137","156","175","234","253","272","331","350","369","428"
"13024","13024","4","33","70","93","163","186","209","279","302","325","395","418","441","511"
"13025","13025","1","34","55","73","128","146","164","219","237","255","310","328","346","401"
"13026","13026","2","34","66","88","154","176","198","264","286","308","374","396","418","484"
"13027","13027","3","34","78","104","182","208","234","312","338","364","442","468","494","572"
"13028","13028","4","34","94","125","219","250","281","375","406","437","531","562","593","687"
"13029","13029","1","35","55","73","128","146","164","219","237","255","310","328","346","401"
"13030","13030","2","35","66","88","154","176","198","264","286","308","374","396","418","484"
"13031","13031","3","35","78","104","182","208","234","312","338","364","442","468","494","572"
"13032","13032","4","35","94","125","219","250","281","375","406","437","531","562","593","687"
"13033","13033","1","38","27","36","63","72","81","108","117","126","153","162","171","198"
"13034","13034","2","38","33","44","77","88","99","132","143","154","187","198","209","242"
"13035","13035","3","38","39","52","91","104","117","156","169","182","221","234","247","286"
"13036","13036","4","38","47","62","109","124","139","186","201","216","263","278","293","340"
"13037","13037","1","39","27","36","63","72","81","108","117","126","153","162","171","198"
"13038","13038","2","39","33","44","77","88","99","132","143","154","187","198","209","242"
"13039","13039","3","39","39","52","91","104","117","156","169","182","221","234","247","286"
"13040","13040","4","39","47","62","109","124","139","186","201","216","263","278","293","340"
"13041","13041","1","40","27","36","63","72","81","108","117","126","153","162","171","198"
"13042","13042","2","40","33","44","77","88","99","132","143","154","187","198","209","242"
"13043","13043","3","40","39","52","91","104","117","156","169","182","221","234","247","286"
"13044","13044","4","40","47","62","109","124","139","186","201","216","263","278","293","340"
"13045","13045","1","41","27","36","63","72","81","108","117","126","153","162","171","198"
"13046","13046","2","41","33","44","77","88","99","132","143","154","187","198","209","242"
"13047","13047","3","41","39","52","91","104","117","156","169","182","221","234","247","286"
"13048","13048","4","41","47","62","109","124","139","186","201","216","263","278","293","340"
"13049","13049","1","42","27","36","63","72","81","108","117","126","153","162","171","198"
"13050","13050","2","42","33","44","77","88","99","132","143","154","187","198","209","242"
"13051","13051","3","42","39","52","91","104","117","156","169","182","221","234","247","286"
"13052","13052","4","42","47","62","109","124","139","186","201","216","263","278","293","340"
"13053","13053","1","43","27","36","63","72","81","108","117","126","153","162","171","198"
"13054","13054","2","43","33","44","77","88","99","132","143","154","187","198","209","242"
"13055","13055","3","43","39","52","91","104","117","156","169","182","221","234","247","286"
"13056","13056","4","43","47","62","109","124","139","186","201","216","263","278","293","340"
"13057","13057","1","44","27","36","63","72","81","108","117","126","153","162","171","198"
"13058","13058","2","44","33","44","77","88","99","132","143","154","187","198","209","242"
"13059","13059","3","44","39","52","91","104","117","156","169","182","221","234","247","286"
"13060","13060","4","44","47","62","109","124","139","186","201","216","263","278","293","340"
"13061","13061","1","45","27","36","63","72","81","108","117","126","153","162","171","198"
"13062","13062","2","45","33","44","77","88","99","132","143","154","187","198","209","242"
"13063","13063","3","45","39","52","91","104","117","156","169","182","221","234","247","286"
"13064","13064","4","45","47","62","109","124","139","186","201","216","263","278","293","340"
"13065","13065","1","48","27","36","63","72","81","108","117","126","153","162","171","198"
"13066","13066","2","48","33","44","77","88","99","132","143","154","187","198","209","242"
"13067","13067","3","48","39","52","91","104","117","156","169","182","221","234","247","286"
"13068","13068","4","48","47","62","109","124","139","186","201","216","263","278","293","340"
"13069","13069","1","49","27","36","63","72","81","108","117","126","153","162","171","198"
"13070","13070","2","49","33","44","77","88","99","132","143","154","187","198","209","242"
"13071","13071","3","49","39","52","91","104","117","156","169","182","221","234","247","286"
"13072","13072","4","49","47","62","109","124","139","186","201","216","263","278","293","340"
"13073","13073","1","50","27","36","63","72","81","108","117","126","153","162","171","198"
"13074","13074","2","50","33","44","77","88","99","132","143","154","187","198","209","242"
"13075","13075","3","50","39","52","91","104","117","156","169","182","221","234","247","286"
"13076","13076","4","50","47","62","109","124","139","186","201","216","263","278","293","340"
"13077","13077","1","51","27","36","63","72","81","108","117","126","153","162","171","198"
"13078","13078","2","51","33","44","77","88","99","132","143","154","187","198","209","242"
"13079","13079","3","51","39","52","91","104","117","156","169","182","221","234","247","286"
"13080","13080","4","51","47","62","109","124","139","186","201","216","263","278","293","340"
"13081","13081","1","52","27","36","63","72","81","108","117","126","153","162","171","198"
"13082","13082","2","52","33","44","77","88","99","132","143","154","187","198","209","242"
"13083","13083","3","52","39","52","91","104","117","156","169","182","221","234","247","286"
"13084","13084","4","52","47","62","109","124","139","186","201","216","263","278","293","340"
"13085","13085","1","53","27","36","63","72","81","108","117","126","153","162","171","198"
"13086","13086","2","53","33","44","77","88","99","132","143","154","187","198","209","242"
"13087","13087","3","53","39","52","91","104","117","156","169","182","221","234","247","286"
"13088","13088","4","53","47","62","109","124","139","186","201","216","263","278","293","340"
"13089","13089","1","119","27","36","63","72","81","108","117","126","153","162","171","198"
"13090","13090","2","119","33","44","77","88","99","132","143","154","187","198","209","242"
"13091","13091","3","119","39","52","91","104","117","156","169","182","221","234","247","286"
"13092","13092","4","119","47","62","109","124","139","186","201","216","263","278","293","340"
"13093","13093","1","120","27","36","63","72","81","108","117","126","153","162","171","198"
"13094","13094","2","120","33","44","77","88","99","132","143","154","187","198","209","242"
"13095","13095","3","120","39","52","91","104","117","156","169","182","221","234","247","286"
"13096","13096","4","120","47","62","109","124","139","186","201","216","263","278","293","340"
